id,tipo,nome,indirizzo,descrizioneIt,descrizioneEn,foursquareId,contatto - fax,contatto - url,contatto - cell,contatto - nome,contatto - email,contatto - telefono,posizione - latitudine,posizione - longitudine
17612393-4662-4510-8d74-258d30a72abc,Stadio del ghiaccio,STADIO DEL GHIACCIO COPERTO,via Cermis - 38033 Cavalese,"Stadio del ghiaccio-pattinaggio
Orari: luned-venerd 15.30-17.00, 21-23; sabato 15-17, 21-23; domenica 15.00-17.00",,,,http://www.sagis.tn/palaghiaccio.htm,+39 (0462)340407, STADIO DEL GHIACCIO COPERTO,,+39 (0462)231252,46.2864760012693,11.4641690254211
d46944b5-d85d-4d5b-aeda-273619775b53,scuola sportiva,SCUOLA ITALIANA DI SCI PASSO LAVAZ,Via Borgonuovo 80 Passo Lavaz - 38030 Varena,"Scuola sci nordico
Orari: 9.00-16.00",,,,http://www.scuolascilavaze.it,, SCUOLA SCI VAL DI FIEMME,info@scuolascilavaze.it,+39 (0462)231830,46.3545996970673,11.4929437637329
86ae2147-af06-4616-8174-2bd07d80bdc8,Palestra,PALESTRA STILBODY,Via Valusella 6 - 38038 Tesero,"Palestra Body Building
Orari: 8.00-22.00","Body Building
Opening Time: 8 a.m.-10 p.m.",50fc54a4c84cbb952eddf8bb,,http://,, PALESTRA STILBODY,,+39 (0462)813774,46.2914136324354,11.511332988739
26d27098-5489-490c-bbf6-3279e2a54115,Palestra,EN PALESTRA,Via Venezia 52 - 38037 Predazzo (TN),"Sala Attrezzi e Fitness
Orari: 10.00-13.00 , 15.00-22.00
           Sabato 15.00-22.00
Chiuso: Domenica","Gym and Fitness
Opening Time: 10 a.m.-1.30 p.m. , 3-10 p.m.
                         Saturday 3-10 p.m.
Close: Sunday",,,http://,, EN PALESTRA,en-palestra@virgilio.it,+39 (0462)501207,46.3108632711826,11.6170978546143
eb1a074d-8dae-4225-a460-339505a12e74,piste da sci,STADIO DEL FONDO - SEDE CAMPIONATI DEL MONDO,Via Stazione 4 - 38038 Lago di Tesero,"Area adibita alla pratica dello sci di fondo
Illuminazione notturna: Marted e Gioved 17.30-21.00","Cross-Country Skiiing Area
Nightly Opening Time: Tuesday and Thursday 5.30-9 p.m.",4d204e1a756e8cfa69246b54,+39 (0462)812558,http://www.latemar.it,, CENTRO DEL FONDO - SEDE CAMPIONATI DEL MONDO,centrodelfondo@simail.it,+39 (0462)814064,46.2826649725967,11.5230059623718
f3ddee17-21bf-4b6c-88b8-33ae6c87b154,info turistiche/ ufficio turistico,UFFICIO ACCREDITI,Via Rossini - 38030 CAVALESE,,,,,http://,, UFFICIO ACCREDITI,,+39 (0462)341449,46.2893822885197,11.4669156074524
1ffa9355-ba08-466a-82d8-376f10a22d20,scuola sportiva,SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,"Localit Castelir, 1 - 38030 Bellamonte (TN)","Tutti i nostri mestri sono iscritti all'A.M.S.I. ed oltre ad avere la regolare qualifica si sono specializzati per potervi offrire il meglio nei seguenti campi:
> insegnamento ai bambini
> Insegnamento pratica SNOWBOARD
> Insegnamento del FONDO
> Insegnamento in lingua inglese e lingua tedesca
> Insegnamento ai disabili
> Allenatori Federali per corsi agonistici
> Guide Alpine
La scuola opera nelle skiarea Bellamonte-Lusia e Pampeago-Obereggen;
a Gardon, servizio Kinderheim - Asilo sulla neve ",,50f82befe4b048acdf66e3de,,http://www.scuoladisci.net,+39 (0462)502999, SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,info@scuoladisci.net,+39 (0462)576164,46.3128493545622,11.6880798339844
74ac23b1-d48f-48b0-a3dd-3e01627b4d21,Stadio del ghiaccio,PATTINAGGIO ALL'APERTO - BAR AL PARCO,Via Rododendri - 38037 Predazzo (TN),"Orari: 14.00-19.00 , 20.00-23.00
           Sabato e Domenica 11.00-19.00 , 20.00-23.00
Servizio Noleggio Pattini","Opening Time: 2-7 p.m. , 8-11 p.m.
                        Saturday and Sunday 11 a.m.-7 p.m. , 8-11 p.m.
Ice Skates Renting",50f82414e4b048acdf2b3732,,http://www.sportingcenterpredazzo.it,, PATTINAGGIO ALL'APERTO - BAR AL PARCO,,+39 (348)5556278,46.3079729464662,11.6023564338684
a336eefc-0174-4807-8902-4c4db7c5b96c,impianti di risalita,UFFICIO SKIPASS - PAMPEAGO,"Loc.Pampeago, 9 - 38038 Tesero","Ufficio skipass
orari: 8.00-17.00","skipass office
opening time: 8 a.m.-5 p.m.",50fc5273c84cbb952edaf411,+39 (0462)814465,http://www.latemar.it,, UFFICIO SKIPASS - PAMPEAGO,info@latemar.it,+39 (0462)813265,46.3421727462103,11.5407729148865
5c98faa9-e6bd-4044-9086-4f23370075a9,"Campo sportivo (calcio, volley, basket, ...)",CAMPO SPORTIVO,Loc. Calvello - 38033 Carano,Campo da calcio in erba/Spogliatoi,,,,http://,, CAMPO SPORTIVO,,+39 (0462)341052,46.2934893805043,11.4352226257324
ed8f681d-30f5-4225-8713-4f7e7050614c,noleggio,NOLEGGIO PLUSSERVICE,Via Nazionale 43 - 38030 Ziano di Fiemme,"Orari: 8.00-11.30 , 15.00-18.30
","Opening Time: 8-11.30 a.m. , 3-6.30 p.m.",,+39 (0462)570092,http://www.plusservicevlf.it,, PLUSSERVICE,ziano@plusservicevlf.com,+39 (0462)570092,46.2874398381102,11.5645051002502
8b21ae00-5d6d-4e8a-84f5-4fba4c3aea67,Palestra,PALAZZETTO DELLO SPORT,via Rossini - 38030 CAVALESE,,,50f6e6f516488f6cc81a42fc,,http://,, PALAZZETTO DELLO SPORT,,+39 (0462)341449,46.2894119437173,11.4668941497803
5cc866d6-1e54-4aa4-b308-50a84051d5ce,spazio bambini,"KINDERGARTEN ""IL REGNO DEI DRAGHI""-LATEMAR 2200",Loc. Stamelin - 38037 Predazzo (TN),"Kindergarten
Orari: 9.30-16.00",,,,http://www.latemar.it,," KINDERGARTEN ""IL REGNO DEI DRAGHI""-LATEMAR 2200",predazzo@latemar.it,+39 (0462)502929,46.3402025410538,11.5783452987671
f02de966-da90-4f57-a7bf-5177803537cc,"Campo sportivo (calcio, volley, basket, ...)",CAMPO SPORTIVO,Castello di Fiemme - 38030 CASTELLO - MOLINA DI FIEMME,Campo da calcio,,,,http://,, CAMPO SPORTIVO,,+39 (333)4472870,46.2663353470163,11.4165115356445
982bcf0b-9067-4351-a18c-5185ffcdb1a0,Palestra,ARETE'CLUB - CENTRO BENESSERE,"Viale Veronza, 3  - 38033 Carano","Palestra, Centro Estetico, Massofisioterapia, Osteopatia
orari: 9.00-22.00","Fitness - beauty - massage center
opening time: 9 a.m.-10 p.m.
",,,http://www.areteclub.it,, ARETE'CLUB- CENTRO BENESSERE,info@areteclub.it,+39 (0462)232369,46.2900198717295,11.4303731918335
41fd93f4-3e26-47f8-9495-567de45f8eee,centro benessere,"CENTRO SALUTE ""SAUNE PLUS AQUAM"" C/O HOTEL MARIA",Via Giovanelli 4 - 38033 Carano,"Centro Benessere
Orari: tutti i giorni dalle 14.00 alle 19.00",,50f2afc839506257c4aa8933,,http://www.hotelmariasas.it,," CENTRO SALUTE ""SAUNE PLUS AQUAM"" C/O HOTEL MARIA",info@hotelmariasas.it,+39 (0462)341472,46.29266,11.44507
f0c92f50-2ab2-4854-99c9-5ce8af1fb1c3,noleggio,NOLEGGIO PLUSSERVICE,Via Prof. Vanzetta 8 - 38030 Ziano di Fiemme,"Orari: 8.00-11.30 , 15.00-18.30","Opening Time: 8-11.30 a.m. , 3-6.30 p.m.",,,http://www.plusservicevlf.it,, PLUSSERVICE,bettin.giancarlo@gmail.com,+39 (331)9341385,46.2860533905371,11.5633249282837
eb2823d2-5a6c-444d-a35c-5d344f295f56,Noleggio sci,NOLEGGIO SCI MATTIOLI MAURO,via Prai de Mont - 38037 Bellamonte (TN),"Nolleggio Sci (Sci alpino, sci da fondo, snowboard, racchette da neve, bob e slitte)
Orari: 8.30-12.30, 14.30-18.30
",,,,http://,+39 (349)8561377, MATTIOLI MAURO,,+39 (347)3234159,46.313368095813,11.6611504554749
6b2b592e-594f-4cba-a687-5ed986982015,"Campo sportivo (calcio, volley, basket, ...)",SPORTING CENTER,Via Venezia 28 - 38037 Predazzo (TN),"Campi Tennis Coperti
Orari: 7.00-23.00","Indoor Tennis Courts
Opening Time: 7 a.m.-11 p.m.",50c38213e4b0fe852d8d4683,,http://www.sportingcenterpredazzo.it,, SPORTING CENTER,,+39 (333)4160031,46.3110707758028,11.6079568862915
3ef74694-3e8e-44f9-b338-6022f2e3fbcd,scuola sportiva,SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,Loc. Stalimen - 38037 Predazzo (TN),"Orari: 8.30-13.30 , 14.30-17.00","Opening Time: 8.30 a.m.-1.30 p.m. , 2.30-5 p.m.",50f82befe4b048acdf66e3de,,http://www.scuoladisci.net,, SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,info@scuoladisci.net,+39 (0462)502999,46.3283798191685,11.6021203994751
69de933f-81ca-4f84-ab60-62f484d98b4e,agenzia di viaggi,FIEMME RESERVATIONS,Via Fratelli Bronzetti 60 - 38033 Cavalese,"Orari: 9.00-12.00 , 15.30-19.00
Chiuso: Sabato Pomeriggio e Domenica","Opening Time: 9 a.m.-12 p.m. , 3.30-7 p.m.
Close:Saturday Afternoon and Sunday",,+39 (0462)231621,http://,, FIEMME RESERVATIONS,fiemmeres@cr-surfing.net,+39 (0462)341463,46.2899828031415,11.4652097225189
29dce04e-a2d4-4f65-b4ed-64f93d1b1d61,Piscina,PISCINA COMUNALE,Via Rossini - 380330 CAVALESE,"Piscina Comunale, Centro Benessere, Palestra
Orari: luned-venerd: 9.30-21.30, sabato-domenica:10.00-19.30",,5065c450e4b0404204200492,,http://www.sagis.tn.it/piscina.htm,, PISCINA COMUNALE,info@sagis.tn.it,+39 (0462)341810,46.2894712540643,11.4665293693542
d4e2da27-e952-4642-9223-681a99f2e31f,Discoteca,MARDOK,via Dossi 3/a - 38030 CAVALESE,"Discoteca
Aperto venerd 7 e sabato 8/12  sabato 15 e sabato 22/12. 
Dal 25/12/2012 al 06/01/2013 aperto tutte le sere.
Dal 9/01 a fine stagione, aperto dal mercoled al sabato. 
Durante i mondiali, aperto tutte le sere. Orario: dalle 22.00 alle 3.30",,50380335e4b0901d6b7f8155,,http://www.mardok.it,+39 (338)4822064, MARDOK,mardok.disco.club@hotmail.it,+39 (0462)232323,46.290271937463,11.4558005332947
fd40814d-ba06-413f-ba7a-696b94351efa,"Campo sportivo (calcio, volley, basket, ...)",TENNIS CAMPO SPORTIVO,Via San Tommaso - 38030 Daiano,,,50dc54f9e4b074d5d88c7c58,,http://,, TENNIS CAMPO SPORTIVO,,+39 (0462)230920,46.3001015962498,11.4505434036255
4c49ff3e-452a-428f-860e-6c06b450450f,"Campo sportivo (calcio, volley, basket, ...)",CAMPO SPORTIVO DI TESERO,Loc. Cerin 13 - 38038 Tesero,Campo da calcio,,,,http://,, CAMPO SPORTIVO DI TESERO,ruggero.vinante@cr-fiemme.net.it,+39 (347)2358372,46.299419655769,11.5041875839233
009c6c84-4006-49f5-a0c3-71c34c9623f7,Minigolf,MINIGOLF,Via Roma - 38030 CAVALESE,Chiuso: periodo invernale,,,,http://,, MINIGOLF,,+39 (335)1016559,46.2895602194644,11.4642119407654
69cbdbea-1d0e-44a8-9580-76b32c0d0358,noleggio,NOLEGGIO SCI CASTELIR SERVICE,Loc. Castelir 7 - 38037 Bellamonte (TN),"Noleggio Sci(Sci slpino,sci da fondo,sci da alpinismo,snowboard,racchette da neve,bob e slitte)/Articoli Sportivi",,,,http://,, CASTELIR SERVICE,sportvaresco@tiscali.it,+39 (0462)576262,46.3129009,11.6876786
f9607b0c-3f7d-44b3-a520-792be8c21703,scuola sportiva,SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,Loc. Gardon - 38037 Predazzo (TN),"Orari: 8.30-13.30 , 14.30-17.00","Opening Time: 8.30 a.m.-1.30 p.m. , 2.30-5 p.m.",50f82befe4b048acdf66e3de,,http://www.scuoladisci.net,, SCUOLA ITALIANA DI SCI ALTA VAL DI FIEMME,info@scuoladisci.net,+39 (0462)501303,46.3402321687248,11.5785598754883
4a186fa1-ce62-4c7f-b31a-79aa464c5a71,spazio bambini,CERMISLANDIA-ALPE CERMIS,alpe cermis - 38033 Cavalese,Kindergarten,,50f95a6c45b0c12d39e8e3b7,+39 (0462)340666,http://,+39 (0462)340490, CERMISLANDIA-ALPE CERMIS,info@maestridiscilagorai.it,+39 (0462)235311,46.2620778694432,11.4810991287231
4a9dd3f9-7890-43e7-99b1-7ddf95396f24,Palestra,VOLTRON CLUB,Via Venezia 28 - 38037 Predazzo (TN),"Kick Boxing, Difesa Personale, Thai Boxe e Pesistica
Orari: 16.30-21.30 
Chiuso: Domenica","Kick Boxing, Personal Defence, Thai Boxe and Weight-Lifting
opening Time: 4.30-9.30 p.m.
Close: Sunday",,,http://,, VOLTRON CLUB,voltron.club@live.it,+39 (340)3228095,46.3111522952598,11.6081178188324
f2dd4727-5ceb-45cc-ab57-7eed73599910,museo,MUSEO STORICO E PINACOTECA  MAGNIFICA COMUNITA',p.zza C.Battisti - 38030 CAVALESE,"Museo
Orari: apre dal 22/12 al 31/03 
       marted,gioved,sabato 10-12:30,15:30-19; mercoled,venerd 15:30-19, 20:30-22; domenica15:30-19",,,+39 (0462)239441,http://www.mcfiemme.eu,, MUSEO STORICO E PINACOTECA MAGNIFICA COMUNITA',segr@magnificacomunitafiemme.it,+39 (0462)340365,46.2915804365265,11.4596307277679
053327cd-b5c2-4cca-af0f-8364e972f56b,Noleggio sci,SPORT VENTURA-NOLEGGIO SCI-PAMPEAGO,loc. Pampeago - 38038 Tesero,"Noleggio sci
orari: 08.30-12.00 , 14.00-18.00","ski-rental
opening time: 08.30 a.m.-12 p.m. , 2-6 p.m.",50e97c5690e7ee08def95356,,http://www.sportventura.it,, SPORT VENTURA-NOLEGGIO SCI- PAMPEAGO,pampeago@sportventura.it,+39 (0462)813033,46.3422171861093,11.5408802032471
08a23ff6-fb36-447c-8985-893f1e04b295,Palestra,PALESTRE E AUDITORIUM ISTITUTO COMPRENSIVO,via Fia  - 38038 Tesero,,,50fc57c5c84cbb952ee28e5f,+39 (0462)811750,http://www.comuneditesero.it,, PALESTRE E AUDITORIUM ISTITUTO COMPRENSIVO,ale@comuneditesero.it,+39 (0462)811700,46.2898493560167,11.5135645866394
7144d9e9-24ed-4bae-9f8f-8ac05ae10fbe,noleggio,NOLEGGIO LOCAL MOTION 2,Loc. Veronza - 38030 Carano,"Orari: 8.00-11.00 , 15.00-18.00","Opening Time: 8-11 a.m. , 3-6 p.m.",,,http://www.plusservicevlf.it,, LOCAL MOTION 2,bettin.giancarlo@gmail.com,+39 (345)9392605,46.2904053835582,11.4334845542908
2a90685e-9377-455e-82fa-8bb6d22387c0,parco divertimenti/parco a tema,SNOWPARK LAVAZE',Via Borgonuovo 80 Passo Lavaz - 38030 PASSO DI LAVAZE',Orari: 9.00-16.00,,,,http://,+39 (334)9709692, SNOWPARK LAVAZE',,+39 (0462)231830,46.3545996970673,11.4930725097656
f1b801ec-3312-4a0c-93c2-9df466c0aa9f,piste da sci,STADIO DEL SALTO,Loc. Stamelin 4 - 38037 Predazzo (TN),Stadio del salto,,4f118570e4b0960dfed07310,,http://,, STADIO DEL SALTO,,+39 (0462)508200,46.3293132848756,11.6018414497375
fd29e4a6-b43e-4c6a-a04c-9e16a0f3f1dc,Prodotto enogatronomico,AZIENDA AGRICOLA BRAITO PIO,Loc Ganzaie - 38030 Daiano,"Gite in carrozza
Aperto da S. Ambrogio a Pasqua
",,,,http://,, AZIENDA AGRICOLA BRAITO PIO,,+39 (347)8166918,46.3044895318294,11.4368963241577
6285794d-b1fe-4b63-8d72-9e40756b3860,"Campo sportivo (calcio, volley, basket, ...)",ASSOCIAZIONI ARCIERI ZIANO DI FIEMME,"Via Belvedere, c/o Casetta ex Seggiovia - 38030 Ziano di Fiemme","Tiro con l'arco
apertura: maggio-ottobre, solo durante i week end, 15.00-19.00
","Archery park
opening time: only during the week end, from May to October, 3-7 p.m.",50fc1159fe701afd99a78910,,http:/www.arcieriziano.it,, ASSOCIAZIONE ARCIERI ZIANO DI FIEMME,,+39 (340)6862187,46.2836585348036,11.5634536743164
14aff3de-82ab-4ccb-be75-9ea8e00d58b2,parco divertimenti/parco a tema,ALPINE COASTER GARDONE',Loc. Stamelin - 38037 Predazzo (TN),"Slittovia su monorotaia
Orari: 11.00-16.30
Chiuso: solo in caso di pioggia o neve",,4e33cc35483b5fa587504693,,http://www.latemar.it,, ALPINE COASTER GARDONE',predazzo@latemar.it,+39 (0462)502929,46.3408247187732,11.5781307220459
dfbd8b48-1833-489a-bfb2-a8b00349c99e,scuola sportiva,SCUOLA ITALIANA DI SCI LAGO DI TESERO,Via Stazione 4 (Presso Centro Fondo)  - 38038 Lago di Tesero,"Corsi collettivi ed individuali di sci nordico.
Orari:9.00-17.00",,,+39 (0462)812899,http://,, SCUOLA SCI LAGO DI TESERO,scuolasci.lagoditesero@valdifiemme.it,+39 (347)7744885,46.2826353137464,11.5230059623718
ff9ce032-cdd7-4911-ad9c-a98c4364df36,"Campo sportivo (calcio, volley, basket, ...)",CAMPO DA CALCIO - ZIANO,Via Stazione - 38030 Ziano di Fiemme,"campo da calcio
aperto solo su richiesta","Soccer field
open only on request",,,http://www.cauriol.it,, CAMPO DA CALCIO,info@cauriol.it,+39 (0462)571778 ,46.2827391196522,11.5566515922546
e868375b-70a9-44d3-95de-a9e996321643,impianti di risalita,UFFICIO SKIPASS - SKI AREA LUSIA,Loc. Castelir 7 - 38037 Bellamonte (TN),"Ufficio Skipass
Orari:8.00-16.30",,,,http://,, UFFICIO SKIPASS,info@bellamonteski.it,+39 (0462)576234,46.3129086395255,11.6880798339844
b1128608-4646-4e81-bab2-aa24df61a701,museo,CENTRO D'ARTE CONTEMPORANEA,Piazzetta Rizzoli 1 - 38033 Cavalese,"Aperto il 15/16 dicembre e dal 22 dicembre al 3 marzo.
Orari: Marted, Gioved, Sabato 10.00-12.30 , 15.30-19.00
          Mercoled, Venerd 15.30-19.00 , 20.30-22.00
          Domenica 15.30-19.00

Chiuso il 25/12, 1/01 e la mattina del 31/12.
",,50e45ec0e4b083ca90ca8caa,+39 (0462)248043,http://www.artecavalese.com,, CENTRO D'ARTE CONTEMPORANEA,info@artecavalese.it,+39 (0462)235416,46.291858442216,11.458922624588
5bc6bdd7-aba4-485f-98e1-ab7fa772b0ba,Noleggio sci,PANET RENTA SPORT,via F. Gialle 40 - 38037 Predazzo (TN),"Nolleggio Sci (Sci alpino,snowboard)
Orari:9-12.15, 15.30-19.15",,,,http://,, PANET RENTA SPORT,predazzo@sportpanet.it,+39 (0462)500114,46.3039558827736,11.5939664840698
97acb045-0d8d-49b6-abc9-adfe88329078,impianti di risalita,UFFICIO SKIPASS - ALPE CERMIS,"Via Cermis, 1 - 38033 Cavalese","Ufficio skipass
orari: 8.00-18.00-  serale 19.30-22.30 mercoled,venerd,sabato (periodo mondiali sempre) 
","Skipass office
opening time: 8 a.m.-6 p.m.
on Wednesday-Friday and Saturday: also 7.30-10.30 p.m.
During Fis Nordic World Ski Championships: everytime



",,+39 (0462)231111,http://www.dolomitisuperski.it,, UFFICIO SKIPASS,info@alpecermis.it,+39 (0462)340490,46.2855714620391,11.4644479751587
4dbdc56d-a42a-479f-807b-b095e7624b58,impianti di risalita,UFFICIO SKIPASS - LATEMAR 2200,Loc. Stalimen 3 - 38037 Predazzo (TN),"Ufficio Skipass
Orari Biglietteria: 8.30-17.00","Skipass Office
Ticket Office Opening Time: 8.30 a.m.-5 p.m.",,+39 (0462)503040,http://www.latemar.it,, UFFICIO SKIPASS - LATEMAR 2200,predazzo@latemar.it,+39 (0462)502929,46.3284983553794,11.6022062301636
a258243f-b042-4af1-9650-b43507cd685a,museo,MUSEO DELLA SCUOLA ALPINA DELLA GUARDIA DI FINANZA,Via Fiamme Gialle 8 - 38037 Predazzo (TN),,,50f820ece4b09b9b5f594b9b,,http://,, MUSEO DELLA SCUOLA ALPINA DELLA GUARDIA DI FINANZA,,+39 (0462)501661,46.3087881817113,11.6013693809509
589f648f-da22-4f0f-89c6-b77d0fcc79b3,museo,MUSEO GEOLOGICO DELLE DOLOMITI,Piazza SS. Filippo e Giacomo 1 - 38037 Predazzo (TN),,,4d049fcd28926ea8b0bd6cc2,+39 (0462)508210,http://,, MUSEO GEOLOGICO DELLE DOLOMITI,museo.predazzo@mtsn.tn.it,+39 (0462)500366,46.3127011418732,11.6030430793762
78d6a233-fbd2-4309-b901-b7d3cdb68271,centro benessere,CENTRO SALUTE ED ESTETICA C/O HOTEL ANCORA,Via Roma 7 - 38037 Predazzo (TN),"Beauty Farm
Orari: 9.00-13.00 , 14.30-19.30
","Beauty Farm
Opening Time: 9 a.m.-1 p.m. , 2.30-7.30 p.m.",,,http://,, CENTRO SALUTE ED ESTETICA C/O HOTEL ANCORA,,+39 (0462)503058,46.31133,11.60267
8e029361-f6b0-4591-a758-bd52cba810c2,info turistiche/ ufficio turistico,Consorzio Impianti a Fune,"Via Roma, 2 - 38038 Tesero",,,,,http://,, Fiemme Obereggen,,,46.2891467,11.503155
af1bf905-ac1d-4062-85c8-bdaa94d7aec4,"Campo sportivo (calcio, volley, basket, ...)",CAMPO SPORTIVO,Via Bronzetti 4 - 38030 CAVALESE,"Campo da calcio, spogliatoi, campo atletica",,,,http://,, CAMPO SPORTIVO,,+39 (0462)230407,46.2844444742326,11.4520454406738
ad691f10-b4b7-4137-8f78-bdce14c9366f,teatro/opera/cinema,SALA MULTIUSO,Loc. Stava - 38038 Tesero,,,,+39 (0462)811750,http://www.comuneditesero.it,, SALA MULTIUSO,info@comuneditesero.it,+39 (0462)811700,46.3161403,11.5017992
f77e7d9b-9468-4a41-9d89-c109388476f7,parco divertimenti/parco a tema,ADVENTURE DOLOMITI BY ACROPARK,Loc.Piazzol - 38030 Castello-Molina di Fiemme,"Parco avventura
aperto solo l'estate: da met giugno a inizio settembre, tutti i giorni, 10.00-18.00
","Adventure park
open only in summer, from June to semptember, every day, 10 a.m.-6 p.m.
",,,http://www.adventuredolomiti.it,, ADVENTURE DOLOMITI BY ACROPARK,infomolina@acropark.it,+39 (347)1375350,46.2617514986334,11.4176273345947
6c8607e3-f3ad-49a9-b9ac-c48b62340d96,museo,MUSEO ETNOGRAFICO DEL NONNO GUSTAVO,Baita Bocin - 38037 Bellamonte (TN),"Una Baita-Museo che raccoglie giochi di una volta, antichi oggetti e utensili sei contadini.","A hut-museum where ancient toys, farmer tools and funny amenities are preserved.",,,http://,, MUSEO ETNOGRAFICO DEL NONNO GUSTAVO,,+39 (0462)576114,46.3134125591199,11.6620087623596
